Protocolo da Solicitação,Código da Unidade Consumidora,Status Atual,Data de Ingresso
2601199327,204364443,Aguardando solicitação de vistoria e Conexão,19/01/2026
2512232215,7096579211,Aguardando solicitação de vistoria e Conexão,29/12/2025
2512055922,7087990170,Solicitação Concluída,05/12/2025
2510242711,7086746810,Solicitação Concluída,24/10/2025
2510087236,7095208031,Solicitação Concluída,08/10/2025
2510066351,7096699640,Solicitação Concluída,23/12/2025
2509222175,7093427976,Solicitação Concluída,22/09/2025
2508149292,7092969368,Solicitação Concluída,14/08/2025
2508054585,7093569979,Solicitação Cancelada,05/08/2025
2507105671,7061806037,Solicitação Concluída,11/07/2025
2507095198,11068146,Solicitação Concluída,09/07/2025
2507094965,7042511077,Solicitação Concluída,09/07/2025
2506280528,7092290306,Solicitação Concluída,30/06/2025
2506270406,7042511077,Solicitação Cancelada,30/06/2025
2506218794,7042511077,Solicitação Cancelada,21/06/2025
2506145606,7079189256,Solicitação Concluída,14/06/2025
2505300861,34148880,Solicitação Concluída,02/06/2025
2505166436,7040337460,Solicitação Concluída,16/05/2025
2505134898,7090874785,Solicitação Cancelada,15/05/2025
2505134770,7090875854,Solicitação Concluída,19/05/2025
2504236101,7006296828,Solicitação Concluída,24/04/2025
2502121236,7088552886,Solicitação Concluída,13/02/2025
2502110847,7015006336,Solicitação Concluída,12/02/2025
2501316961,7089526374,Solicitação Concluída,03/02/2025
2501285484,7084949013,Solicitação Concluída,29/01/2025
2501223403,7088352534,Solicitação Concluída,24/01/2025
2501140624,708494903,Solicitação Cancelada,16/01/2025
2412067463,7066086423,Solicitação Concluída,24/01/2025
2411128394,7085458668,Solicitação Concluída,13/11/2024
2410304151,7045934009,Solicitação Concluída,31/10/2024
2410293367,7045934009,Solicitação Cancelada,30/10/2024
2409026023,7085441420,Aguardando solicitação de vistoria e Conexão,03/09/2024
2408295224,30636694,Solicitação Concluída,29/08/2024
2408284953,7082445115,Solicitação Concluída,28/08/2024
2408284906,7029300784,Solicitação Concluída,28/08/2024
2408140164,7085482968,Solicitação Concluída,18/08/2024
2408067507,7084974530,Solicitação Concluída,06/08/2024
2407171167,7077031558,Solicitação Concluída,17/07/2024
2407150452,7082445115,Solicitação Cancelada,17/07/2024
2407088106,7082784637,Solicitação Concluída,08/07/2024
2407067632,7084754140,Solicitação Concluída,06/07/2024
2407016064,7084162129,Solicitação Concluída,01/07/2024
2406275120,24023095,Solicitação Concluída,27/06/2024
2406253775,25732758,Solicitação Concluída,26/06/2024
2405273611,7055671340,Solicitação Concluída,27/05/2024
2404304120,7083027180,Solicitação Concluída,30/04/2024
2404294025,7020446468,Solicitação Concluída,29/04/2024
2404086555,7018577709,Solicitação Cancelada,08/04/2024
2404045603,7081963473,Aguardando solicitação de vistoria e Conexão,04/04/2024
2403221303,7053965142,Solicitação Cancelada,22/03/2024
2403147677,7081478257,Solicitação Concluída,14/03/2024
2403147667,7081942204,Solicitação Concluída,14/03/2024
2403075218,7065272584,Solicitação Concluída,07/03/2024
2402251091,7030894590,Solicitação Concluída,25/02/2024
2402251087," 7080129690",Solicitação Concluída,25/02/2024
